no,type,answer,passage,question
1-1-1,word,形がない、消えない、簡単に複製できる、容易に伝播する,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,情報の代表的な特徴を4つ挙げてください。
1-1-2,description,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,データと情報の違いは何ですか
1-1-3,description,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,問題という用語は「あるべき理想の姿と現実とのギャップ」や「解決や解消を必要とする状況」などという意味で良く用いられる．,問題解決における問題とは何ですか
1-1-4,description,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,ブレーンストーミングには質より量，制約を設けない，便乗の奨励，批判の禁止の4つのルールがある．,アイデアを生み出す手法であるブレーンストーミングのルールはどのようなものが挙げられますか
1-1-5,description,"アイデアの近さやまとまりを可視化するKJ法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセ プトマップがある ",アイデアを整理し，可視化する有効な手法として，アイデアをそれぞれのカードに記し，二次元に配置しながらグループ化したり表題をつけたり関連づけたりするなどして有意な解釈や新たなアイデアなどを生み出す方法や，アイデアや項目などを一定のルールのもとに線でつなぎながら関連を分かりやすく示す方法などがある．前者の代表的な例として「KJ法」が，後者の代表的な例として「ロジックツリー」「コンセプトマップ」などが挙げられる．,アイデアを整理する手法はどのようなものがありますか
1-1-6,tf,正しくない,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,次の文章は正しいか答えなさい．「事象や現象を数字や文字などで記号化したものが情報であり，意味や価値が付加された情報やメッセージをデータという．」
1-1-7,tf,正しくない,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,次の文章は正しいか答えなさい．情報の代表的な特徴は「形がない」、「消える」、「簡単に複製できない」、「容易に伝播する」の4つである．
1-2-1,word,不正アクセス禁止法違反、コンピュータ・電磁的記録対象犯罪等、ネットワーク利用犯罪,平成30年の警察白書によれば，サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反 2.コンピュータ・電磁的記録対象犯罪等 3.ネットワーク利用犯罪,サイバー犯罪の類型3つを回答してください。
1-2-2,word,情報の機密性・完全性・可用性,情報システムを安心して利用するには，情報セキュリティ対策が必要である。情報セキュリティとは，情報の機密性・完全性・可用性(情報セキュリティの3要素)を確保することである。,情報セキュリティの3要素を答えてください。
1-2-3,description,英数字・記号などを組み合わせ、他人に容易に推測されないようにする。,これらを実現するためには，認証技術は欠かすことができない。認証はユーザIDとパスワードを使って行うことが多い。一般の利用者が情報システムを利用するにあたり，設定するパスワードは通常，英数字，記号などを組み合わせ，他の人に容易に推測されない複雑なものにする必要がある。,パスワード設定時に注意すべき事項とは何でしょうか？
