番号,type,answer,passage,question
3-11-1,word,CPU,コンピュータは，制御装置，演算装置，記憶装置，入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせて CPU（Central Processing Unit）という。,コンピュータの制御装置と演算装置を総称して何といいますか?
3-11-2,word,計測,センサやアクチュエータなどの計測・制御システムを構成する要素の機能や仕組みを理解し，計測・制御システムの中では一連の情報がプログラムによって処理されており，順次，分岐，反復という処理手順の組み合わせによって実現されていることを理解する。センサなどの装置を使って自然現象などの量を測ることを計測といい，ある目的の状態にするためにアクチュエータなどの装置を操作することを制御という。,センサを使って自然現象の量を測ることを何といいますか?
3-11-3,description,コンピュータに計算させるときには、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータで変数は指定されたビット数の箱に入っていると考える。この箱（定められたビット数）に収まるものであれば誤差は生じないが、収まらないものは誤差が生じる。例えば、15ビットの箱を準備したとき、13ビットの魚Aは箱に収まるが、20ビットの魚Bは箱に入らない。このとき失われた5ビットが計算誤差の原因となる。コンピュータに計算させる時には、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータに計算させる時にはどのようなことに注意する必要がありますか
3-11-4,word,CPU,コンピュータは、制御装置、演算装置、記憶装置、入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせてCPU（Central Processing Unit）という," コンピューターの制御装置と演算装置を合わせた装置を何というか?"
3-11-5,description,CPUの動作速度が速いほど、１動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,CPUの動作速度が速いほど、1動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,性能の良いCPUとはどのようなものでしょう
3-11-6,word,メモリ,CPUにとっての作業場所がメモリである。十分な広さが必要であり、特に複数の仕事を同時に進行する場合は広くする必要がある。ここが狭いと、コンピュータ全体の処理速度が落ちる。ハードディスクは、情報を保存しておく引き出しと考えてもらいたい。大量の情報を保存できるが読み書きに時間がかかる。,CPUにとっての作業場所はどこでしょう
3-11-7,tf,正しくない,CPUにとっての作業場所がメモリである。十分な広さが必要であり、特に複数の仕事を同時に進行する場合は広くする必要がある。ここが狭いと、コンピュータ全体の処理速度が落ちる。ハードディスクは、情報を保存しておく引き出しと考えてもらいたい。大量の情報を保存できるが読み書きに時間がかかる。,「CPUにとっての作業場所がメモリであり、狭くても問題はない。」という文章は正しいですか？
3-11-8,tf,正しくない,メモリが少ない場合は、あふれたデータをハードディスクに保存するため、ハードディスクとのデータのやり取りにほとんどの時間がとられ、いくらCPUが高速でも実行速度は上がらない。必要十分なメモリがあって、ハードディスクのかわりにデータの読み書きの速度が速いSSD(Solid State Drive)などを使うと、コンピュータの実質的な動作速度を上げることができる。,次の文章は正しいか答えなさい。SSDのかわりにハードディスクを使うとコンピュータの実質的な動作速度を上げることができる。
3-11-9,tf,正しくない,現在のコンピュータの演算装置は、0か1のみで表現される２進数を扱うように設計されている。２進数を大きな桁で非常に高速で演算することによりすべての演算を行う。その基本的な演算は四則演算とは異なりAND、OR、NOTの３つである。,次の文章は正しいか答えなさい。現在のコンピュータの演算装置は、0から9で表現される10進数を扱うように設計されている。
3-11-10,tf,正しい,AND、OR、NOTを用いて2進数の足し算について考えてみる。論理演算の基本は、AND、OR、NOTなので、この3つで基本的にどんな計算も表すことができる。,次の文章は正しいか答えなさい。論理演算の基本は、AND、OR、NOTなので、この3つで基本的にどんな計算も表すことができる。
