type,answer,passage,question,tf
word,形がない、消えない、簡単に複製できる、容易に伝播する,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,情報の代表的な特性は何か,1
word,形がない、消えない、簡単に複製できる、容易に伝播する,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,情報の代表的な特徴は何か,1
word,形がない、消えない、簡単に複製できる、容易に伝播する,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,情報の代表的な特性は何か?,1
word,形がない、消えない、簡単に複製できる、容易に伝播する,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,情報の代表的な特性は3つありますか?,1
word,形がない、消えない、簡単に複製できる、容易に伝播する,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,情報の代表的な特性は何ですか?,1
word,形がない、消えない、簡単に複製できる、容易に伝播する,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,"情報の代表的な特性として,以下の4つが挙げられる。",0
word,形がない、消えない、簡単に複製できる、容易に伝播する,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,情報の代表的な特性とは何か,1
word,形がない、消えない、簡単に複製できる、容易に伝播する,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,情報の代表的な特徴は何か?,1
word,形がない、消えない、簡単に複製できる、容易に伝播する,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,情報の代表的な特性にはどのようなものがありますか?,1
word,形がない、消えない、簡単に複製できる、容易に伝播する,情報の代表的な特性として，以下の4つがあげられる。1形がない 2消えない 3簡単に複製できる 4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。,"情報の代表的な特性として,以下の4つがあげられる。",0
description,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,データは事象や現象を数字や文字などで記号化したものである.,0
description,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,"データは事象や現象を数字や文字などで記号化したものであり,意味や価値が付加されたデータやメッセージを情報という.",0
description,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,"データは事象や現象を数字や文字などで記号化したもので,意味や価値が付加されたデータやメッセージを情報という.",0
description,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,データは事象や現象を数字や文字などで記号化したものがデータである.,0
description,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,事象や現象を数字や文字などで記号化したものがデータである.,0
description,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,"データは事象や現象を数字や文字などで記号化したものがデータであり,意味や価値が付加されたデータやメッセージを情報という.",0
description,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,データは事象や現象を数字や文字などで記号化したものである,0
description,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,"データは事象や現象を数字や文字などで記号化したもので,意味や価値が付加されたデータやメッセージのことを情報という.",0
description,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,"データは事象や現象を数字や文字などで記号化したもので,意味や価値付加されたデータやメッセージを情報という.",0
description,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,事象や現象を数字や文字などで記号化したものがデータであり，意味や価値が付加されたデータやメッセージを情報という．,"データは事象や現象を数字や文字などで記号化したものであり,意味や価値付加されたデータやメッセージを情報という.",0
description,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,問題という用語は「あるべき理想の姿と現実とのギャップ」や「解決や解消を必要とする状況」などという意味で良く用いられる．,解決や解消を必要とする状況とはどういう意味ですか?,0
description,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,問題という用語は「あるべき理想の姿と現実とのギャップ」や「解決や解消を必要とする状況」などという意味で良く用いられる．,解決や解消を必要とする状況という場合、問題という用語はよく使われますか?,0
description,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,問題という用語は「あるべき理想の姿と現実とのギャップ」や「解決や解消を必要とする状況」などという意味で良く用いられる．,問題はあるべき理想の姿と現実とのギャップのことであり、解決や解消を必要とする状況を指すこともある,0
description,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,問題という用語は「あるべき理想の姿と現実とのギャップ」や「解決や解消を必要とする状況」などという意味で良く用いられる．,問題はあるべき理想の姿と現実とのギャップを指すのですか?,0
description,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,問題という用語は「あるべき理想の姿と現実とのギャップ」や「解決や解消を必要とする状況」などという意味で良く用いられる．,問題はあるべき理想の姿と現実とのギャップのことを指す.,0
description,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,問題という用語は「あるべき理想の姿と現実とのギャップ」や「解決や解消を必要とする状況」などという意味で良く用いられる．,問題という言葉はよく使われますか?,0
description,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,問題という用語は「あるべき理想の姿と現実とのギャップ」や「解決や解消を必要とする状況」などという意味で良く用いられる．,問題はあるべき理想の姿と現実とのギャップを指すことが多い.,0
description,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,問題という用語は「あるべき理想の姿と現実とのギャップ」や「解決や解消を必要とする状況」などという意味で良く用いられる．,解決や解消を必要とする状況という場合、問題という言葉はよく使われますか?,0
description,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,問題という用語は「あるべき理想の姿と現実とのギャップ」や「解決や解消を必要とする状況」などという意味で良く用いられる．,問題はあるべき理想の姿と現実とのギャップのことを指すのですか?,0
description,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,問題という用語は「あるべき理想の姿と現実とのギャップ」や「解決や解消を必要とする状況」などという意味で良く用いられる．,問題はあるべき理想の姿と現実とのギャップを指す.,0
description,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,ブレーンストーミングには質より量，制約を設けない，便乗の奨励，批判の禁止の4つのルールがある．,ブレーンストーミングには4つのルールがありますか?,0
description,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,ブレーンストーミングには質より量，制約を設けない，便乗の奨励，批判の禁止の4つのルールがある．,ブレーンストーミングにはどのようなルールがありますか?,1
