,no,type,answer,passage,question,tf
0,2-6-1,word,デジタル,私たちの身の回りには，温度や時間など連続的に変化するものがたくさんある。このような情報をアナログデータという。デジタルは連続する量を一定間隔ごとに区切り，数値を用いて表す方法である。,連続する量を一定間隔ごとに区切り，数値を用いて表す方法を何というか,1
1,2-6-2,tf,正しくない,コンピュータは，直接アナログデータを扱うことができず，デジタルデータをデータとして扱っている。コンピュータの内部におけるデータは，複数の素子の電圧などの段階の組み合わせとして表されることが多い。現在は，これを二段階で表現する場合が多く，0と１で表される２進法を対応させて扱っている。,コンピュータは，直接アナログデータを扱うことは可能か,1
2,2-6-3,word,標本化,アナログ情報をデジタル化するときには，連続的に変化する量を一定の時間間隔で区切る標本化，それぞれの値にあらかじめ定めた段階値を割り当てる量子化，量子化した数値を２進法で表現する符号化の手順が行われる。,アナログ情報をデジタル情報に変換する際，連続的に変化する量を一定の時間間隔で区切る処理を何というか,1
3,2-6-4,word,量子化,アナログ情報をデジタル化するときには，連続的に変化する量を一定の時間間隔で区切る標本化，それぞれの値にあらかじめ定めた段階値を割り当てる量子化，量子化した数値を２進法で表現する符号化の手順が行われる。,アナログ情報をデジタル情報に変換する際，それぞれの値にあらかじめ定めた段階値を割り当てる処理を何というか,1
4,2-6-5,tf,正しくない,アナログ情報をデジタル化するときには，連続的に変化する量を一定の時間間隔で区切る標本化，それぞれの値にあらかじめ定めた段階値を割り当てる量子化，量子化した数値を２進法で表現する符号化の手順が行われる。,次の文章は正しいか答えなさい。アナログ情報をデジタル情報に変換する際，連続的に変化する量を一定の時間間隔で区切る処理を量子化という．,1
5,2-6-6,word,16bit,コンピュータでは，文字の一つ一つに文字コードと呼ばれる固有の番号を割り当てることで，文字を2進法のデータとして取り扱っている。英語などで使用されるアルファベットや数字などの文字は種類が少ないので７bitで表現することができるが，日本語などで使用される漢字などの文字は種類が多いので16bitで表現する。,テキストをコンピュータで処理する際，日本語は1文字あたり何bitで表現されるか,1
6,2-6-7,tf,正しくない,コンピュータでは，文字の一つ一つに文字コードと呼ばれる固有の番号を割り当てることで，文字を2進法のデータとして取り扱っている。英語などで使用されるアルファベットや数字などの文字は種類が少ないので７bitで表現することができるが，日本語などで使用される漢字などの文字は種類が多いので16bitで表現する。,次の文章は正しいか答えなさい。テキストをコンピュータで処理する際，1文字あたり7bitあれば十分である。,1
7,2-6-8,word,ラスタデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して，ラスタデータとベクタデータに大きく分けられる。ラスタデータは，画像を色情報を持った点を使って表現したデータで，ビットマップデータとも呼ばれる。ラスタデータは，写真や自然画などを扱うのに適している。しかしラスタデータは，点の集合で表現されているため，画像の拡大・縮小・変形などには適さない。ベクタデータは，画像を点とそれを結ぶ線や面で計算処理して表現したデータで，イラストや図面などを作成するのに適している。ベクタデータは，表示するたびに,計算を行って画像を表現するため，画像を拡大・縮小・変形したりしても，画質が維持されるという特徴がある。",コンピュータで画像を扱う際，画像を色情報を持った点を使って表現したデータ形式を何というか,1
8,2-6-9,word,ビットマップデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して，ラスタデータとベクタデータに大きく分けられる。ラスタデータは，画像を色情報を持った点を使って表現したデータで，ビットマップデータとも呼ばれる。ラスタデータは，写真や自然画などを扱うのに適している。しかしラスタデータは，点の集合で表現されているため，画像の拡大・縮小・変形などには適さない。ベクタデータは，画像を点とそれを結ぶ線や面で計算処理して表現したデータで，イラストや図面などを作成するのに適している。ベクタデータは，表示するたびに,計算を行って画像を表現するため，画像を拡大・縮小・変形したりしても，画質が維持されるという特徴がある。",コンピュータで画像を扱う際，画像を色情報を持った点を使って表現したデータ形式を，ラスターデータ以外に何と呼ぶか,1
9,2-6-10,word,ベクターデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して，ラスタデータとベクタデータに大きく分けられる。ラスタデータは，画像を色情報を持った点を使って表現したデータで，ビットマップデータとも呼ばれる。ラスタデータは，写真や自然画などを扱うのに適している。しかしラスタデータは，点の集合で表現されているため，画像の拡大・縮小・変形などには適さない。ベクタデータは，画像を点とそれを結ぶ線や面で計算処理して表現したデータで，イラストや図面などを作成するのに適している。ベクタデータは，表示するたびに,計算を行って画像を表現するため，画像を拡大・縮小・変形したりしても，画質が維持されるという特徴がある。",コンピュータで画像を扱う際，画像を点とそれを結ぶ線や面で計算処理して表現したデータを何というか,1
10,2-6-11,tf,正しくない,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して，ラスタデータとベクタデータに大きく分けられる。ラスタデータは，画像を色情報を持った点を使って表現したデータで，ビットマップデータとも呼ばれる。ラスタデータは，写真や自然画などを扱うのに適している。しかしラスタデータは，点の集合で表現されているため，画像の拡大・縮小・変形などには適さない。ベクタデータは，画像を点とそれを結ぶ線や面で計算処理して表現したデータで，イラストや図面などを作成するのに適している。ベクタデータは，表示するたびに,計算を行って画像を表現するため，画像を拡大・縮小・変形したりしても，画質が維持されるという特徴がある。",次の文章は正しいか答えなさい。ベクターデータは画像を拡大・縮小・変形したりしても画質が維持されるという特徴があるため、写真や自然画などを扱うのに適している。,1
11,2-7-1,description,コミュニケーションとは、送り手と受け手の間で情報のやり取りをすることである。,コミュニケーションは、送り手と、受け手の間で情報のやり取りをすることを指す。,コミュニケーションとは何か説明しなさい。,1
12,2-7-2,word,対人コミュニケーション、集団コミュニケーション、マスコミュニケーション,コミュニケーションを、個人同士で情報をやり取りする「対人コミュニケーション」、限られた集団で情報をやり取りする「集団コミュニケーション」、不特定多数で情報をやり取りする「マスコミュニケーション」の３つのモデルに分ける考え方がある。,コミュニケーションにおける３つのモデルを答えなさい。,1
13,2-7-3,tf,正しくない,画面内に画像や文章を配置する際に重要なことは絵心ではなく、目の特性（ゲシュタルトの法則）を理解することである。,次の文章は正しいか答えなさい。画面内に画像や文章を配置する際に重要なことは絵心である。,1
14,2-7-4,tf,正しくない,対人コミュニケーションは特定相手を限定した個人対個人のコミュニケーションのことを指し、集団コミュニケーションは限定された小集団レベルのコミュニケーションのことを指す。また、マスコミュニケーションは不特定多数に対して行われるコミュニケーションのことをいう。,次の文章は正しいか答えなさい。マスコミュニケーションは特定相手を限定した個人対個人のコミュニケーションのことである。,1
15,2-7-5,tf,正しい,対人コミュニケーションは特定相手を限定した個人対個人のコミュニケーションのことを指し、集団コミュニケーションは限定された小集団レベルのコミュニケーションのことを指す。また、マスコミュニケーションは不特定多数に対して行われるコミュニケーションのことをいう。,次の文章は正しいか答えよ。集団コミュニケーションは限定された小集団レベルのコミュニケーションのことをいう。,1
16,2-7-6,description,対人コミュニケーションとは特定相手を限定した個人対個人のコミュニケーションのことである。,対人コミュニケーションは特定相手を限定した個人対個人のコミュニケーションのことを指し、集団コミュニケーションは限定された小集団レベルのコミュニケーションのことを指す。また、マスコミュニケーションは不特定多数に対して行われるコミュニケーションのことをいう。,対人コミュニケーションとは何か説明せよ。,1
17,2-8-1,description,「メディア」は一般的には表現形式としてのメディアと、物理メディアを一体として捉えて、小数の発信者が多数の受信者に対して情報発信を行う新聞や出版物、テレビやラジオなどのマスメディアを指すことが多い。,一般的に「メディア」というと、表現形式としてのメディアと、物理メディアを一体として捉えて、小数の発信者が多数の受信者に対して情報発信を行う新聞や出版物、テレビやラジオなどのマスメディアを指すことが多い。,一般的に「メディア」とは何を指すか、説明せよ。,1
18,2-8-2,word,インタラクティブなメディア,利用者の働きかけによって、提示される内容が変化するメディアをインタラクティブなメディアという。,利用者の働きかけによって、提示される内容が変化するメディアを何と呼ぶか答えなさい。,1
19,2-8-3,word,紙,旧石器時代の人類は、壁画などを用いて情報を伝えることもあったと考えられる。その後、楔形文字やヒエログリフなどの文字が生まれ、紙の普及により筆記のコミュニケーションが盛んになった。,何の普及によって筆記のコミュニケーションが盛んになったか答えなさい。,1
20,2-8-4,description,15世紀にグーテンベルクによって活版印刷術が発明されたため、情報の複製が容易にできるようになったため、同じ情報を同時に複数人に伝えることが容易になった。,15世紀にはグーテンベルクによって活版印刷術が発明されたことにより、情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になった。その後、産業革命をきっかけに、不特定多数への情報伝達の需要が高まり、マスメディアが誕生した。,同じ情報を同時に複数人に伝えることが容易になったのはなぜか、説明しなさい。,1
21,2-8-5,word,マスメディア,15世紀にはグーテンベルクによって活版印刷術が発明されたことにより、情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になった。その後、産業革命をきっかけに、不特定多数への情報伝達の需要が高まり、マスメディアが誕生した。,産業革命をきっかけに何が誕生したか答えなさい。,1
22,2-8-6,tf,正しくない,15世紀にはグーテンベルクによって活版印刷術が発明されたことにより、情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になった。その後、産業革命をきっかけに、不特定多数への情報伝達の需要が高まり、マスメディアが誕生した。,次の文章は正しいか答えなさい。18世紀にはグーテンベルクによって活版印刷術が発明されたことにより、情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になった。,1
23,2-8-7,tf,正しい,近年では、検索アルゴリズムの発達によって、利用者の思想や行動特性に合わせた情報だけが選別されて表示され、インターネット上の観測範囲が狭くなる現象（フィルターバブル）が指摘されている。,次の文章は正しいか答えなさい。検索アルゴリズムの発達によって、利用者の思想や行動特性に合わせた情報だけが選別されて表示され、インターネット上の観測範囲が狭くなる現象が指摘されている。,1
24,2-8-8,tf,正しい,ベクタ系画像処理ソフトでは、円や長方形などの図形はオブジェクトというひとつの塊として描画される。オブジェクトは、数式で表現されているため、拡大・変形しても画質は劣化しない。また、オブジェクト毎に選択して重ねたり移動したりできる。,次の文章は正しいか答えなさい。ベクタ系画像処理ソフトウェアでは、図形はオブジェクトというひとつの塊として描画される。,1
25,2-8-9,description,ベクタ系画像処理ソフトではオブジェクトが数式で表現されているため、拡大・変形しても画質は劣化しない。,ベクタ系画像処理ソフトでは、円や長方形などの図形はオブジェクトというひとつの塊として描画される。オブジェクトは、数式で表現されているため、拡大・変形しても画質は劣化しない。また、オブジェクト毎に選択して重ねたり移動したりできる。,ベクタ系画像処理ソフトでは拡大・変形しても画質が劣化しないのはなぜか、説明しなさい。,1
26,2-8-10,tf,正しくない,ラスタ系画像処理ソフトでは、画像を小さな点（ピクセル）で描画する。そのため、拡大や変形すると画像が粗くなる場合がある。また、ベクタ系とは異なり画像内にある一部の円や長方形だけを移動したり、削除することはできない。,次の文章は正しいか答えなさい。ラスタ系画像処理ソフトでは、画像をピクセルで描画する。そのため、拡大や変形しても画質が粗くなることはない。,1
27,2-8-11,description,ラスタ系画像処理ソフトでは画像を小さな点で描画するため、拡大や変形によって画像が粗くなることがある。,ラスタ系画像処理ソフトでは、画像を小さな点（ピクセル）で描画する。そのため、拡大や変形すると画像が粗くなる場合がある。また、ベクタ系とは異なり画像内にある一部の円や長方形だけを移動したり、削除することはできない。,ラスタ系画像処理ソフトにおいて拡大や変形を行うと画質が粗くなることがあるのはなぜか、説明しなさい。,1
28,2-9-1,word,人間中心設計,サインシステム，インフォグラフィックス，ユーザインタフェースなどのデザインにおいて，情報デザインとして優れているものは，利用者の立場に立ったデザインがなされている。これは「人間中心設計」という考え方で，その設計プロセスはISO（国際標準化機構）で規定されている。　人間中心設計のプロセスは，利用者のニーズを把握し，そのニーズに基づいたデザインを行い，利用者の評価を受けて改善を行う。人間中心設計では，利用者のニーズを完全に満たすまで評価と改善を繰り返すことになる。,情報デザインとして優れているものに適応されている考え方は何か？,1
29,2-9-2,word,究極の5個の帽子掛け,情報デザインを行っていく上で欠かせないのが，情報を構造化していくことである。情報の構造化とは，情報をある基準を用いて整理し，整理された情報同士を結び付けていくことである。　情報の整理の基準として用いられているのが，リチャード・ソール・ワーマンが提唱した「究極の5個の帽子掛け」と呼ばれるものである。ここでは，情報を整理する基準について，「位置」「アルファベット」「時間」「カテゴリ」「連続量」の5つしかないとしている。,リチャード・ソール・ウーマンが提唱した情報の整理の基準として用いられているものは何か。,1
30,2-9-3,tf,正しい,現在のスマートフォンは，電話，メール，カメラ，Web閲覧，音楽プレーヤー，ゲーム機‥‥と様々な機能を兼ね備えているため，利用者が操作に迷わないようなユーザインタフェースを備える必要がある。　椅子やベッドのように物の存在自体が，人間の物に対する働きかけ方を想起させる場合がある。例えば，ユーザインタフェースは，「機器の操作」を利用者に想起させる。この「情報デザインの考え方」には，「情報の視覚的な表現」という「情報の見せ方」だけでなく，階層化されたメニューのように「情報を表示する順序」といった「情報の出し方」のデザインも含まれている。,次の文章は正しいか答えよ。「情報デザインの考え方」には「情報の出し方」のデザインも含まれる。,1
31,2-9-4,word,アーツ・アンド・クラフツ運動,デザインの起源は19世紀末にウィリアム・モリスらが展開した、アーツ・アンド・クラフツ運動であると言われている。これは、大量生産による安価で粗悪な工業製品ではなく、生活と芸術を融合した製品を生産することによって、市民の生活の質や、製品の質や価値を向上させようという運動である。,デザインの起源は何か、答えなさい。,1
32,2-9-5,description,アイソタイプの目的は、言語の壁を越えて情報を伝達することで、社会的不平等を解消することである。,オットー・ノイラートが考案したアイソタイプは、文字が読めない社会的弱者を含めた、あらゆる人々に向けて、情報をグラフィカルに伝達しようとしたものである。その目的は、言語の壁を越えて情報を伝達することで、社会的な不平等を解消しようとしたものと言われている。,アイソタイプの目的は何か、答えなさい。,1
33,2-9-6,description,学習指導要領では情報デザインについて「効果的なコミュニケーションや問題解決のために、情報を整理したり、目的や意図を持った情報を受け手に対してわかりやすく伝達したり、操作性を高めたりするためのデザインの基礎知識や表現方法及びその技術のことである。」と述べてられている。,学習指導要領解説では、情報デザインについて「効果的なコミュニケーションや問題解決のために、情報を整理したり、目的や意図を持った情報を受け手に対してわかりやすく伝達したり、操作性を高めたりするためのデザインの基礎知識や表現方法及びその技術のことである。」と述べている。,学習指導要領解説では、情報デザインについてどのように述べられているか答えなさい。,1
34,2-9-7,tf,正しくない,オットー・ノイラートのアイソタイプは、図記号を用いた情報デザインのはしりである。その後、オリンピックなどの国際的なイベントや駅などの公共施設の案内に、ピクトグラムを中心としたサインシステムが用いられるようになり、インフォグラフィックスによる情報の表現も多くみられるようになっている。,次の文章は正しいか答えなさい。オリンピックなどの国際的なイベントや駅などの公共施設の案内に、ピクトグラムを中心としたサインシステムが用いられていたが、インフォグラフィックスによる情報の表現は見られなくなってきている。,1
35,2-9-8,tf,正しくない,デザインの対象は、インターフェース、アルゴリズム、プログラミング、ネットワーク、データベース、データ分析など、コンテンツ以外にも多岐に渡るものである。広い意味では組織や文化などもデザインの対象になりうる。,次の文章は正しいか答えなさい。データ分析やデータベースはデザインの対象にはならない。,1
36,2-9-9,tf,正しい,利用者に適切な行動を誘導する役割を持たせたデザインをシグニファイアという。適切なシグニファイアがデザインされたユーザインターフェースは、利用者が得られる体験（ユーザエクスペリエンス）の向上をもたらすため、情報デザインの重要性は一層増してきている。,次の文章は正しいか答えなさい。適切なシグニファイアがデザインされたユーザインターフェースは、ユーザエクスペリエンスの向上をもたらすため、情報デザインの重要性は一層増してきている。,1
37,2-9-10,description,シグニファイアとは利用者に適切な行動を誘導する役割を持たせたデザインのことである。,利用者に適切な行動を誘導する役割を持たせたデザインをシグニファイアという。適切なシグニファイアがデザインされたユーザインターフェースは、利用者が得られる体験（ユーザエクスペリエンス）の向上をもたらすため、情報デザインの重要性は一層増してきている。,シグニファイアとは何か答えなさい。,1
38,2-10-1,word,ブレーンストーミングとKJ法,情報デザインの目的は「情報伝達についての問題の解決」であるから，デザインの対象は「情報伝達について何らかの問題を抱えているもの」ということになる。しかし，日常生活において，その問題を意識する機会は少ない。なぜなら，人間は置かれている状況に上手に対応しながら生活しているので，問題を問題として認識することが難しいからである。　デザインの対象を見つけるためには，身の回りにある情報伝達の仕組みについて，新たな視点から考える必要がある。そのために，各種の発想法が用いられる。発想法は，ブレーンストーミングやKJ法がその代表である。,発想法の例として何がありますか？,1
39,2-10-2,description,6人程度のグループを組んで，6×3のマス目があるシートにそれぞれの意見やアイデアを書き込んでいく発想法,ブレーンストーミングやKJ法以外に，授業に取り入れやすい発想法としては，ブレーンライティング（635法）がある。　ブレーンライティングは，6人程度のグループを組んで，6×3のマス目があるシートにそれぞれの意見やアイデアを書き込んでいく発想法である。,635法はどのような発想法か答えなさい。,1
40,2-10-3,word,KJ法、特性要因図,発散技法は多くの視点から多様な発想を生み出そうとする方法であり、主な発想法としてはブレーンストーミングやブレーンライティングがある。また、収束技法は集めたデータをまとめていくことで有効な情報を形成していく方法であり、KJ法や特性要因図が該当する。統合技法は先述した発散と収束を繰り返す方法であり、ワークデザイン法とインプットアウトプット法が該当する。態度技法は創造的態度を身に付ける方法でロールプレイング、ワールドカフェがある。,収束技法にはどのような方法があるか、２つ答えなさい。,1
41,2-10-4,description,統合技法は多くの視点から多様な発想を生み出そうとする発散と集めたデータをまとめていくことで有効な情報を形成していく収束を繰り返す方法である。,発散技法は多くの視点から多様な発想を生み出そうとする方法であり、主な発想法としてはブレーンストーミングやブレーンライティングがある。また、収束技法は集めたデータをまとめていくことで有効な情報を形成していく方法であり、KJ法や特性要因図が該当する。統合技法は先述した発散と収束を繰り返す方法であり、ワークデザイン法とインプットアウトプット法が該当する。態度技法は創造的態度を身に付ける方法でロールプレイング、ワールドカフェがある。,統合技法とはどのような方法か説明しなさい。,1
42,2-10-5,tf,正しくない,発散技法は多くの視点から多様な発想を生み出そうとする方法であり、主な発想法としてはブレーンストーミングやブレーンライティングがある。また、収束技法は集めたデータをまとめていくことで有効な情報を形成していく方法であり、KJ法や特性要因図が該当する。統合技法は先述した発散と収束を繰り返す方法であり、ワークデザイン法とインプットアウトプット法が該当する。態度技法は創造的態度を身に付ける方法でロールプレイング、ワールドカフェがその代表である。,次の文章は正しいか答えなさい。態度技法は集めたデータをまとめていくことで有効な情報を形成していく方法であり、ロールプレイング、ワールドカフェがその代表である。,1
43,2-10-6,tf,正しくない,発散技法は多くの視点から多様な発想を生み出そうとする方法であり、主な発想法としてはブレーンストーミングやブレーンライティングがある。また、収束技法は集めたデータをまとめていくことで有効な情報を形成していく方法であり、KJ法や特性要因図が該当する。統合技法は先述した発散と収束を繰り返す方法であり、ワークデザイン法とインプットアウトプット法が該当する。態度技法は創造的態度を身に付ける方法でロールプレイング、ワールドカフェがその代表である。,次の文章は正しいか答えなさい。発散技法は多くの視点から多様な発想を生み出そうとする方法であり、主な発想法としてはブレーンストーミングやワークデザイン法がある。,1
44,2-10-7,tf,正しい,各種の発想法によりデザインの対象を見つけたら、そこにあるニーズについて情報を収集する。このとき収集される情報には、大きく分けて、定量的な情報と、定性的な情報がある。定量的な情報は、結果を数値で得られるため、量的な比較や検証をするのに向いている。定性的な情報は、主に文字情報によって結果が得られるため、新たな気付きを得たり、詳細な状況を探ったりするのに向いている。,次の文章は正しいか答えなさい。定量的な情報は、結果を数値で得られるため、量的な比較や検証をするのに向いている。,1
45,2-10-8,description,定性的な情報は主に文字情報によって結果が得られるため、新たな気付きを得たり、詳細な状況を探ったりするのに向いている。,各種の発想法によりデザインの対象を見つけたら、そこにあるニーズについて情報を収集する。このとき収集される情報には、大きく分けて、定量的な情報と、定性的な情報がある。定量的な情報は、結果を数値で得られるため、量的な比較や検証をするのに向いている。定性的な情報は、主に文字情報によって結果が得られるため、新たな気付きを得たり、詳細な状況を探ったりするのに向いている。,定性的な情報の特徴を説明しなさい。,1
46,2-10-9,word,フィールドワーク,情報を収集する手法としてフィールドワークがある。これは、実際にデザインの対象となる場に行って、現地の様子を観察するやり方である。必要に応じて、現地でアンケート調査やインタビューを行えるため、より多面的な情報が手に入るが、観察者の力量によって情報の質が変わってしまう場合もある。,実際にデザインの対象となる場に行って、現地の様子を観察し、情報を収集する手法を何というか。,1
47,2-10-10,tf,正しくない,ペルソナ手法は、デザインされた情報の利用者の人物像（ペルソナ）を設定し、その人物に向けて、何が必要かを検討していくことで要件を定義する手法である。ペルソナを設定する際には、年齢、性別、職業、家族構成、趣味、スキルといった人物の基本的な情報だけでなく、利用者の会社、学校、社会での役割（ユーザロール）や、利用者がどのようなことを達成したいのか（ユーザゴール）、利用者の好みなども具体的に設定していく。,次の文章は正しいか答えなさい。ペルソナを設定する際には、年齢、性別、職業などの人物の基本的な情報だけを設定すればよい。,1
48,2-10-11,word,バリューシナリオ、アクティビティシナリオ、インタラクションシナリオ,シナリオ手法は、デザインしたものが利用される場面を具体的に想定して、要件を定義する手法である。シナリオ手法の一種として、「構造化シナリオ手法」がよく用いられる。これは、デザインされたものについて、利用者にどのような価値をもたらすのか記述した「バリューシナリオ」、利用者の活動の様子について記述した「アクティビティシナリオ」、利用者の具体的な行動や操作について記述した「インタラクションシナリオ」の３つのシナリオから構成される,構造化シナリオ手法を構成する３つのシナリオとは何か答えなさい。,1
