,answer,passage,question
0,CPU,コンピュータは，制御装置，演算装置，記憶装置，入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせて CPU（Central Processing Unit）という。,コンピュータの制御装置と演算装置を合わせて何といいますか?
1,CPU,コンピュータは，制御装置，演算装置，記憶装置，入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせて CPU（Central Processing Unit）という。,コンピュータの制御装置と演算装置を総称して何といいますか?
2,CPU,コンピュータは，制御装置，演算装置，記憶装置，入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせて CPU（Central Processing Unit）という。,コンピュータの制御装置と演算装置を合わせて何といいますか
3,CPU,コンピュータは，制御装置，演算装置，記憶装置，入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせて CPU（Central Processing Unit）という。,コンピュータの制御装置と演算装置を合わせて何というか
4,CPU,コンピュータは，制御装置，演算装置，記憶装置，入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせて CPU（Central Processing Unit）という。,コンピュータの制御装置と演算装置を総称して何といいますか
5,CPU,コンピュータは，制御装置，演算装置，記憶装置，入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせて CPU（Central Processing Unit）という。,制御装置と演算装置を合わせて何といいますか?
6,CPU,コンピュータは，制御装置，演算装置，記憶装置，入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせて CPU（Central Processing Unit）という。,コンピュータの制御装置と演算装置を総称して何というか
7,CPU,コンピュータは，制御装置，演算装置，記憶装置，入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせて CPU（Central Processing Unit）という。,コンピューターの制御装置と演算装置を合わせて何といいますか?
8,CPU,コンピュータは，制御装置，演算装置，記憶装置，入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせて CPU（Central Processing Unit）という。,コンピュータの制御装置と演算装置を合わせて何というか?
9,CPU,コンピュータは，制御装置，演算装置，記憶装置，入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせて CPU（Central Processing Unit）という。,制御装置と演算装置を総称して何といいますか?
10,計測,センサやアクチュエータなどの計測・制御システムを構成する要素の機能や仕組みを理解し，計測・制御システムの中では一連の情報がプログラムによって処理されており，順次，分岐，反復という処理手順の組み合わせによって実現されていることを理解する。センサなどの装置を使って自然現象などの量を測ることを計測といい，ある目的の状態にするためにアクチュエータなどの装置を操作することを制御という。,センサなどの装置を使って自然現象などの量を測ることを何といいますか?
11,計測,センサやアクチュエータなどの計測・制御システムを構成する要素の機能や仕組みを理解し，計測・制御システムの中では一連の情報がプログラムによって処理されており，順次，分岐，反復という処理手順の組み合わせによって実現されていることを理解する。センサなどの装置を使って自然現象などの量を測ることを計測といい，ある目的の状態にするためにアクチュエータなどの装置を操作することを制御という。,センサやアクチュエータを使って自然現象などの量を測ることを何といいますか?
12,計測,センサやアクチュエータなどの計測・制御システムを構成する要素の機能や仕組みを理解し，計測・制御システムの中では一連の情報がプログラムによって処理されており，順次，分岐，反復という処理手順の組み合わせによって実現されていることを理解する。センサなどの装置を使って自然現象などの量を測ることを計測といい，ある目的の状態にするためにアクチュエータなどの装置を操作することを制御という。,センサのような装置を使って自然現象などの量を測ることを何といいますか?
13,計測,センサやアクチュエータなどの計測・制御システムを構成する要素の機能や仕組みを理解し，計測・制御システムの中では一連の情報がプログラムによって処理されており，順次，分岐，反復という処理手順の組み合わせによって実現されていることを理解する。センサなどの装置を使って自然現象などの量を測ることを計測といい，ある目的の状態にするためにアクチュエータなどの装置を操作することを制御という。,センサなどを使って自然現象などの量を測ることを何といいますか?
14,計測,センサやアクチュエータなどの計測・制御システムを構成する要素の機能や仕組みを理解し，計測・制御システムの中では一連の情報がプログラムによって処理されており，順次，分岐，反復という処理手順の組み合わせによって実現されていることを理解する。センサなどの装置を使って自然現象などの量を測ることを計測といい，ある目的の状態にするためにアクチュエータなどの装置を操作することを制御という。,センサやアクチュエータなどを使って自然現象などの量を測ることを何といいますか?
15,計測,センサやアクチュエータなどの計測・制御システムを構成する要素の機能や仕組みを理解し，計測・制御システムの中では一連の情報がプログラムによって処理されており，順次，分岐，反復という処理手順の組み合わせによって実現されていることを理解する。センサなどの装置を使って自然現象などの量を測ることを計測といい，ある目的の状態にするためにアクチュエータなどの装置を操作することを制御という。,センサなどの装置を使って自然現象などの量を測ることを何といいますか
16,計測,センサやアクチュエータなどの計測・制御システムを構成する要素の機能や仕組みを理解し，計測・制御システムの中では一連の情報がプログラムによって処理されており，順次，分岐，反復という処理手順の組み合わせによって実現されていることを理解する。センサなどの装置を使って自然現象などの量を測ることを計測といい，ある目的の状態にするためにアクチュエータなどの装置を操作することを制御という。,センサやアクチュエータを使って自然現象などの量を測ることを何といいますか
17,計測,センサやアクチュエータなどの計測・制御システムを構成する要素の機能や仕組みを理解し，計測・制御システムの中では一連の情報がプログラムによって処理されており，順次，分岐，反復という処理手順の組み合わせによって実現されていることを理解する。センサなどの装置を使って自然現象などの量を測ることを計測といい，ある目的の状態にするためにアクチュエータなどの装置を操作することを制御という。,センサのような装置を使って自然現象などの量を測ることを何といいますか
18,計測,センサやアクチュエータなどの計測・制御システムを構成する要素の機能や仕組みを理解し，計測・制御システムの中では一連の情報がプログラムによって処理されており，順次，分岐，反復という処理手順の組み合わせによって実現されていることを理解する。センサなどの装置を使って自然現象などの量を測ることを計測といい，ある目的の状態にするためにアクチュエータなどの装置を操作することを制御という。,センサやアクチュエータなどを使って自然現象などの量を測ることを何といいますか
19,計測,センサやアクチュエータなどの計測・制御システムを構成する要素の機能や仕組みを理解し，計測・制御システムの中では一連の情報がプログラムによって処理されており，順次，分岐，反復という処理手順の組み合わせによって実現されていることを理解する。センサなどの装置を使って自然現象などの量を測ることを計測といい，ある目的の状態にするためにアクチュエータなどの装置を操作することを制御という。,センサなどを使って自然現象などの量を測ることを何といいますか
20,コンピュータに計算させるときには、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータで変数は指定されたビット数の箱に入っていると考える。この箱（定められたビット数）に収まるものであれば誤差は生じないが、収まらないものは誤差が生じる。例えば、15ビットの箱を準備したとき、13ビットの魚Aは箱に収まるが、20ビットの魚Bは箱に入らない。このとき失われた5ビットが計算誤差の原因となる。コンピュータに計算させる時には、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,計算誤差の原因は何か
21,コンピュータに計算させるときには、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータで変数は指定されたビット数の箱に入っていると考える。この箱（定められたビット数）に収まるものであれば誤差は生じないが、収まらないものは誤差が生じる。例えば、15ビットの箱を準備したとき、13ビットの魚Aは箱に収まるが、20ビットの魚Bは箱に入らない。このとき失われた5ビットが計算誤差の原因となる。コンピュータに計算させる時には、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータに計算させるときには、必要な精度に見合った箱を準備した上で、失われた5ビットが計算誤差の原因となる。
22,コンピュータに計算させるときには、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータで変数は指定されたビット数の箱に入っていると考える。この箱（定められたビット数）に収まるものであれば誤差は生じないが、収まらないものは誤差が生じる。例えば、15ビットの箱を準備したとき、13ビットの魚Aは箱に収まるが、20ビットの魚Bは箱に入らない。このとき失われた5ビットが計算誤差の原因となる。コンピュータに計算させる時には、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータに計算させるときには、必要な精度に見合った箱を準備するとともに、計算誤差の原因となる。
23,コンピュータに計算させるときには、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータで変数は指定されたビット数の箱に入っていると考える。この箱（定められたビット数）に収まるものであれば誤差は生じないが、収まらないものは誤差が生じる。例えば、15ビットの箱を準備したとき、13ビットの魚Aは箱に収まるが、20ビットの魚Bは箱に入らない。このとき失われた5ビットが計算誤差の原因となる。コンピュータに計算させる時には、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータに計算させるときには、必要な精度に見合った箱を準備しておく。
24,コンピュータに計算させるときには、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータで変数は指定されたビット数の箱に入っていると考える。この箱（定められたビット数）に収まるものであれば誤差は生じないが、収まらないものは誤差が生じる。例えば、15ビットの箱を準備したとき、13ビットの魚Aは箱に収まるが、20ビットの魚Bは箱に入らない。このとき失われた5ビットが計算誤差の原因となる。コンピュータに計算させる時には、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータで変数が指定されたビット数の箱に入っていると考えるとき、失われた5ビットが計算誤差の原因となる。
25,コンピュータに計算させるときには、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータで変数は指定されたビット数の箱に入っていると考える。この箱（定められたビット数）に収まるものであれば誤差は生じないが、収まらないものは誤差が生じる。例えば、15ビットの箱を準備したとき、13ビットの魚Aは箱に収まるが、20ビットの魚Bは箱に入らない。このとき失われた5ビットが計算誤差の原因となる。コンピュータに計算させる時には、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータに計算させるときには、必要な精度に見合った箱を用意するとともに、計算誤差の原因となる。
26,コンピュータに計算させるときには、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータで変数は指定されたビット数の箱に入っていると考える。この箱（定められたビット数）に収まるものであれば誤差は生じないが、収まらないものは誤差が生じる。例えば、15ビットの箱を準備したとき、13ビットの魚Aは箱に収まるが、20ビットの魚Bは箱に入らない。このとき失われた5ビットが計算誤差の原因となる。コンピュータに計算させる時には、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータで変数が指定されたビット数の箱に入っていると考えるとき、失われた5ビットは計算誤差の原因となる。
27,コンピュータに計算させるときには、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータで変数は指定されたビット数の箱に入っていると考える。この箱（定められたビット数）に収まるものであれば誤差は生じないが、収まらないものは誤差が生じる。例えば、15ビットの箱を準備したとき、13ビットの魚Aは箱に収まるが、20ビットの魚Bは箱に入らない。このとき失われた5ビットが計算誤差の原因となる。コンピュータに計算させる時には、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータに計算させるときには、必要な精度に見合った箱を準備するとともに、計算誤差の原因となるものは何か
28,コンピュータに計算させるときには、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータで変数は指定されたビット数の箱に入っていると考える。この箱（定められたビット数）に収まるものであれば誤差は生じないが、収まらないものは誤差が生じる。例えば、15ビットの箱を準備したとき、13ビットの魚Aは箱に収まるが、20ビットの魚Bは箱に入らない。このとき失われた5ビットが計算誤差の原因となる。コンピュータに計算させる時には、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータに計算させるときには、必要な精度に見合った箱を準備するとともに、計算誤差の原因は何か
29,コンピュータに計算させるときには、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータで変数は指定されたビット数の箱に入っていると考える。この箱（定められたビット数）に収まるものであれば誤差は生じないが、収まらないものは誤差が生じる。例えば、15ビットの箱を準備したとき、13ビットの魚Aは箱に収まるが、20ビットの魚Bは箱に入らない。このとき失われた5ビットが計算誤差の原因となる。コンピュータに計算させる時には、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータに計算をさせるときには、必要な精度に見合った箱を用意するとともに、計算誤差の原因となる。
30,CPU,コンピュータは、制御装置、演算装置、記憶装置、入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせてCPU（Central Processing Unit）という,コンピュータの制御装置と演算装置を合わせて何といいますか?
31,CPU,コンピュータは、制御装置、演算装置、記憶装置、入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせてCPU（Central Processing Unit）という,コンピュータの制御装置と演算装置を総称して何といいますか?
32,CPU,コンピュータは、制御装置、演算装置、記憶装置、入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせてCPU（Central Processing Unit）という,コンピュータの制御装置と演算装置を総称して何といいますか
33,CPU,コンピュータは、制御装置、演算装置、記憶装置、入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせてCPU（Central Processing Unit）という,コンピュータの制御装置と演算装置を合わせて何といいますか
34,CPU,コンピュータは、制御装置、演算装置、記憶装置、入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせてCPU（Central Processing Unit）という,制御装置と演算装置を合わせて何といいますか?
35,CPU,コンピュータは、制御装置、演算装置、記憶装置、入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせてCPU（Central Processing Unit）という,コンピュータの制御装置と演算装置を総称して何というか
36,CPU,コンピュータは、制御装置、演算装置、記憶装置、入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせてCPU（Central Processing Unit）という,コンピュータの制御装置と演算装置を合わせて何というか
37,CPU,コンピュータは、制御装置、演算装置、記憶装置、入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせてCPU（Central Processing Unit）という,コンピュータの制御装置と演算装置は一体何と呼ばれているか
38,CPU,コンピュータは、制御装置、演算装置、記憶装置、入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせてCPU（Central Processing Unit）という,制御装置と演算装置を総称して何といいますか?
39,CPU,コンピュータは、制御装置、演算装置、記憶装置、入力装置，出力装置の５つで構成される。制御装置と演算装置を合わせてCPU（Central Processing Unit）という,コンピューターの制御装置と演算装置を合わせて何といいますか?
40,CPUの動作速度が速いほど、１動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,CPUの動作速度が速いほど、1動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,性能の良いcpuとは何か
41,CPUの動作速度が速いほど、１動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,CPUの動作速度が速いほど、1動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,性能の良いcpuとはどのようなものですか
42,CPUの動作速度が速いほど、１動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,CPUの動作速度が速いほど、1動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,性能の良いcpuとは何か?
43,CPUの動作速度が速いほど、１動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,CPUの動作速度が速いほど、1動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,性能の良いcpuとはどういう意味ですか
44,CPUの動作速度が速いほど、１動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,CPUの動作速度が速いほど、1動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,性能の良いcpuとはどういう意味ですか?
45,CPUの動作速度が速いほど、１動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,CPUの動作速度が速いほど、1動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,性能の良いcpuとはどのようなものであるか
46,CPUの動作速度が速いほど、１動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,CPUの動作速度が速いほど、1動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,性能の良いcpuとはどのようなものですか?
47,CPUの動作速度が速いほど、１動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,CPUの動作速度が速いほど、1動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,性能の良いcpuとはどのようなものですか?
48,CPUの動作速度が速いほど、１動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,CPUの動作速度が速いほど、1動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,性能の良いcpuとはどのようなものか
49,CPUの動作速度が速いほど、１動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,CPUの動作速度が速いほど、1動作あたりに実行する命令や処理するデータが多いほど性能の良いCPUとなる。,性能の良いcpuとはどのようなものですか
