,番号,type,answer,passage,question,tf
0,4-18-1,word,Ethernetの電気信号,外見上は，有線が Ethernet（イーサネット）（IEEE802.3（アイトリプルイーハチマルニテンサン））に従った規格の通信であり，無線は LAN ケーブルなしで Ethernet の通信技術を実現したものである。物理的な違いであり，実際には通信上のネットワークインタフェースが Ethernet の電気信号であることと電波を利用することの違いである。,有線は無線と異なるネットワークインターフェースを用いている．それは何？,1
1,4-18-2,word,アプリケーション層、トランスポート層、インターネット層、ネットワークインタフェース層,TCP/IPの4階層モデルについて、インターネットの通信においては、TCP、IPv4、IPv6、DHCP、HTTP、SMTP、POPなどの様々なプロトコルが用いられるが、これらは4層のレイヤに分けて考えることができる。アプリケーション層、トランスポート層、インターネット層、ネットワークインタフェース層の4つである。,4層のレイヤの名前はそれぞれなんですか,1
2,4-18-3,word,通信プロトコル,インターネットの通信において、通信する際の規定を定めたものを通信プロトコルという。このプロトコルがあることで相互に通信を行うことが可能になっている。,インターネットの通信において通信する際の規定を定めたものは何ですか,1
3,4-18-4,description,有線LANはEthernetの電気信号を、無線LANは電波を利用すること,有線LANと無線LANと無線LANの違いはどこにあるのか。外見上は有線がEthernetにしたがった規格の通信であり、無線はLANケーブルなしでEthernetの通信技術を実現したものである。これは物理的な違いであり実際には、通信上のネットワークインタフェースがEthernetの電気信号であることと電波を利用することの違いである,実際の通信における有線LANと無線LANの違いは何ですか,1
4,4-18-5,tf,正しくない,TCP/IPの4階層モデルについて説明する。インターネットの通信において、通信する際の規定を定めたものを通信プロトコルという。このプロトコルがあることで、相互に通信を行うことが可能になっている。,次の文章は正しいか答えなさい。インターネットの通信において、通信する際の規定を定めたものをインターネットプロトコルという。,1
5,4-18-6,tf,正しい,有線LAMと無線LANの違いとはどこにあるのだろうか。外見上は、有線がEthernetに従った規格の通信であり、無線はLANケーブルなしでEthernetの通信技術を実現したものである。物理的な違いであり、実際には通信上のネットワークインターフェースがEthernetの電気信号であることと電波を利用することの違いである。,次の文章は正しいか答えなさい。有線がEthernetに従った規格の通信であり、無線はLANケーブルなしでEthernetの通信技術を実現したものである。,1
6,4-18-7,tf,正しい,有線LANでは物理的なケーブルを用いてデータを転送するのに対して、無線LANでは、空気中を電波でデータを伝送するために、傍受することが容易であることがデメリットである。共通鍵暗号ならば、暗号化、復号の両方で同じキーを使うので、この方式を使う無線LANは、キーがわかってしまえば、安全な通信はできないことになる。,次の文章は正しいか答えなさい。共通鍵暗号は暗号化・復号の両方で同じキーを使うので、この方式を使う無線LANはキーがわかってしまえば安全な通信はできないことになる。,1
7,4-18-8,tf,正しくない,WEPは古くから使われている方法ではあるが、現在ではフリーウェアを用いて暗号化キーが数秒で解読されてしまうほど、脆弱な暗号であることが知られ、現在ではほとんど使われていない。そのため安全性を高めるためにWPA=TKIPや更にセキュリティを高めたWPA2-CCMP(AES)が用いられていたが、2017年10月16日に「『Wi-Fi Protected Access 2（WPA2）』に存在する脆弱性が複数発見された」との報道により、全世界は震撼した。これによって、新たな規格であるWPA3が検討されてきている。,次の文章は正しいか答えなさい。WEPは古くから使われている方法ではあるが、現在でも暗号化キーの解読には天文学的な時間を要するため、よく使われている。,1
8,4-18-9,tf,正しくない,TCP/IPの4階層モデルについて、インターネットの通信においては、TCP、IPv4、IPv6、DHCP、HTTP、SMTP、POPなどの様々なプロトコルが用いられるが、これらは4層のレイヤに分けて考えることができる。アプリケーション層、トランスポート層、インターネット層、ネットワークインタフェース層の4つである。,TCP/IPの4階層モデルについて、インターネットの通信においては様々なプロトコルが用いられるが、これらは7層のレイヤに分けて考えることができる。,1
9,4-18-10,description,無線LANのデメリットは空気中を電波でデータを伝送するため傍受することが容易なことである。,有線LANでは物理的なケーブルを用いてデータを転送するのに対して、無線LANでは、空気中を電波でデータを伝送するために、傍受することが容易であることがデメリットである。,無線LANのデメリットは何か,1
10,4-19-1,tf,正しくない,家庭内などの接続する人が特定できている場所での接続に関しても、外部からの不正な侵入も考慮し、SSIDを公開しないことや暗号化キーを分かりづらいものにしておくこと、暗号化方式を容易に解読されないものにしておくことが必要である。そのため、SSID、暗号化キー、暗号化方式などの情報が無線LANに参加するのに必要になる。,次の文章は正しいか答えなさい。家庭内などの接続する人が特定できている場所での接続に関しても、SSIDを公開することや暗号化キーを分かりやすいものにしておくこと、暗号化方式を容易に解読されないものにしておくことが必要である。,1
11,4-19-2,description,外部からの不正な侵入を考慮して、SSIDを公開しないことや暗号化キーを分かりづらいものにしておくこと、暗号化方式を容易に解読されないものにしておくことが必要である。,家庭内などの接続する人が特定できている場所での接続に関しても、外部からの不正な侵入も考慮し、SSIDを公開しないことや暗号化キーを分かりづらいものにしておくこと、暗号化方式を容易に解読されないものにしておくことが必要である。そのため、SSID、暗号化キー、暗号化方式などの情報が無線LANに参加するのに必要になる。,家庭内などの接続する人が特定できている場所での接続について、外部からの不正な侵入の対策としてどのようなことをしておく必要がありますか。,1
12,4-20-1,word,Excel形式やCSV形式,オープンデータとして利用しやすいファイル形式がある．統計情報，施設一覧など表形式となっている情報にはExcel形式やCSV形式を用いる．報告書などの文章による情報や図形，画像などが混在する情報にはPDF形式やWord形式を用いる．地図と組み合わせて利用する情報で，線や面などのデータを含むものにはshp形式を用いる．,表形式に適したファイル形式は何？,1
13,4-20-2,word,PDF形式やWord形式,オープンデータとして利用しやすいファイル形式がある．統計情報，施設一覧など表形式となっている情報にはExcel形式やCSV形式を用いる．報告書などの文章による情報や図形，画像などが混在する情報にはPDF形式やWord形式を用いる．地図と組み合わせて利用する情報で，線や面などのデータを含むものにはshp形式を用いる．,文章や画像などが混在する情報に適したファイル形式は何？,1
14,4-20-3,word,POSシステム,商業分野では店舗経営の効率化・売り上げ分析・在庫管理などを目的とし、POSシステムと呼ばれる情報システムを用いている。,商業分野で用いられる情報システムはなんですか,1
15,4-20-4,word,電子決済システム,金融分野では鉄道運賃の支払いや店頭レジでの支払いに電子決済システムと呼ばれる情報システムを活用している。,金融分野において用いられる情報システムはなんですか,1
16,4-20-5,word,SNS,通信分野では利用者同士の交流や情報発信などの目的に、ソーシャルネットワーキングサービス(SNS)と呼ばれる情報システムを用いている。,通信分野で用いられる情報システムはアルファベット3文字で何という,1
17,4-20-6,word,ITS,交通分野では渋滞緩和やバスの走行位置提供などを目的とし、高度道路交通システム(通称：ITS)と呼ばれる情報システムを用いている。,交通分野で用いられる情報システムはアルファベット3文字でなんといいますか,1
18,4-20-7,word,緊急地震速報,気象分野では早期避難や工場の機械制御などを目的とし、緊急地震速報と呼ばれる情報システムを用いている。,気象分野で用いられる地震が来ることを伝える情報システムはなにか,1
19,4-20-8,word,eラーニングシステム,教育分野などで機材提供や学習履歴に基づく指導を行うために用いられる、eラーニングシステムがある。,教育分野で用いられる情報システムはなにか,1
20,4-20-9,word,住民基本台帳システム,行政分野では行政手続きの簡略化や住民票写し広域交付などの目的に住民基本台帳システムと呼ばれる情報システムを用いている。,行政手続きの簡略化などに用いられる情報システムはなんという,1
21,4-20-10,word,国民参加・官民共同の推進を通じた諸課題の解決、経済活性化,オープンデータとしてデータが公開される意義として国民参加・官民共同の推進を通じた諸課題の解決、経済活性化があげられ、その効果として多様なサービスの提供・公共サービスの提供・改善、諸課題の解決への貢献などが挙げられる。,オープンデータとしてデータが公開されるのはどんな意義がありますか,1
22,4-20-11,word,行政の透明性・信頼性の向上,オープンデータとしてデータが公開されることにより、政策等に関する十分な分析・判断が可能となり、行政の透明性・信頼性の向上につながると考えられる。,オープンデータとしてデータが公開されるとどのような効果がありますか,1
23,4-21-1,word,SQL,データの蓄積や検索が容易にできるものをデータベースという，そのうち特にリレーショナルデータベース（関係データベース）が広く用いられている。リレーショナルデータベースは，表形式で表現されたテーブルというデータの集合として管理する。複数のテーブルを関連付けて，結合して利用することもできる。リレーショナルデータベースを操作するには，SQL(Structured Query Language) という言語が用いられる。,リレーショナルデータベースを操作するプログラミング言語は何？,1
24,4-21-2,description,リレーショナルデータベースは、データが表形式で表現されたテーブルというデータの集合として管理する。,データの蓄積や検索が容易にできるものをデータベースという，そのうち特にリレーショナルデータベース（関係データベース）が広く用いられている。リレーショナルデータベースは，表形式で表現されたテーブルというデータの集合として管理する。複数のテーブルを関連付けて，結合して利用することもできる。リレーショナルデータベースを操作するには，SQL(Structured Query Language) という言語が用いられる。,リレーショナルデータベースではどのようにしてデータを管理するか。,1
25,4-21-3,description,離散グラフとは頂点と辺で構成された図のことである。,頂点と辺で構成された図を離散グラフという。図表２では、aからfまでの６人の人のつながりを表している。aからfまでの人を表す丸を頂点（バーテックスまたはノード）、人と人とのつながりを表す線分を辺（エッジ）といい、頂点と辺で構成された図を離散グラフという。特に方向性を考えない無効グラフとなっている。人のつながりでの片思いの関係や一方通行の道路のような、方向性を考慮した有効グラフを考えることもできる。,離散グラフとは何ですか。,1
26,4-21-4,tf,正しくない,離散グラフをコンピュータ上で表現するには、コンピュータで扱うことができるデータ形式で表現する必要がある。一つの例として、２次元配列を用いて表現することができる。頂点どうしがつながっていれば１、つながっていなければ０として表現する。このように表現する方法を隣接行列という。隣接行列を用いて表現する場合、辺の本数が少ない場合には、隣接行列の要素の多くが０である疎行列になってしまう。,次の文章は正しいか答えてください。離散グラフを隣接行列を用いて表現する場合、辺の本数が少ない場合には蜜行列となる。,1
27,4-21-5,description,離散リストは隣接行列における疎行列のような不要なデータについての問題を解消する。,隣接リストの形式では、疎行列のような不要なデータについては解消されるが、頂点同士が接続しているかどうかを調べるには隣接リストをたどって調べる必要が生じる。離散グラフを用いてどのような問題を解決するかを考えて表現することが求められる。,離散リストは隣接行列におけるどのような問題を解消しますか,1
28,4-22-1,word,50%,位置統計量のうち，四分位数というものがある．四分位数はデータを大きさの順に並べたときに，データの個数 ( 相対度数 ) を 4 等分する境界値で，データが小さい方から順に第 1 四分位数（Q1），第 2 四分位数（Q2）（中央値と同値），第 3 四分位数（Q3）という。累積相対度数は中学校で学習するが，四分位数はそれぞれ，下側累積 25％点，下側累積 50％点，下側累積 75％点に相当する。四分位数を図示する方法として，箱ひげ図が用いられる。,四分位数のうち，第２四分位数に相当するのは下側累積の何％？,1
29,4-22-2,word,箱ひげ図,位置統計量のうち，四分位数というものがある．四分位数はデータを大きさの順に並べたときに，データの個数 ( 相対度数 ) を 4 等分する境界値で，データが小さい方から順に第 1 四分位数（Q1），第 2 四分位数（Q2）（中央値と同値），第 3 四分位数（Q3）という。累積相対度数は中学校で学習するが，四分位数はそれぞれ，下側累積 25％点，下側累積 50％点，下側累積 75％点に相当する。四分位数を図示する方法として，箱ひげ図が用いられる。,四分位数を図示する方法は何？,1
30,4-22-3,word,帰無仮説,検証したい仮説を対立仮説と呼び，その反対の仮説を帰無仮説と呼ぶ。そして，標本データが帰無仮説上でどのような起こりやすさ（分布）の下で起こっているのかを確率で評価し，非常に小さな確率でしか起こらないことを証拠に，帰無仮説を棄却し対立仮説の成立を主張する。,検証したい仮説の反対の仮説は何？,1
31,4-22-4,word,帰無仮説は正しくない,帰無仮説上の分布で検定統計量の観測値が対立仮説の方向にその値以上にずれる有意確率が有意水準以下になるとき，帰無仮説は正しくないと考え，帰無仮説は棄却され対立仮説を採択する。p 値が有意水準より大きくなる場合は，帰無仮説が正しいというより，検出力の問題もあるので，今回のデータは帰無仮説を棄却する統計的な証拠にはならないという判断に留めることが重要である。,有意確率が有意水準以下になると帰無仮説はどう言えますか？,1
32,4-22-5,description,帰無仮説を棄却する統計的な証拠にはならない,帰無仮説上の分布で検定統計量の観測値が対立仮説の方向にその値以上にずれる有意確率が有意水準以下になるとき，帰無仮説は正しくないと考え，帰無仮説は棄却され対立仮説を採択する。p 値が有意水準より大きくなる場合は，帰無仮説が正しいというより，検出力の問題もあるので，今回のデータは帰無仮説を棄却する統計的な証拠にはならないという判断に留めることが重要である。,有意確率が有意水準以下にならない場合，帰無仮説はどう言えますか？,1
33,4-23-1,word,名義尺度と順序尺度,データには尺度水準を基にすると，名義尺度，順序尺度，間隔尺度，比例尺度の 4 種類に分けて考えることができる。このうち，名義尺度と順序尺度をまとめて質的データまたはカテゴリ型データと呼ぶことがある。,データの尺度を4種類に分けたうちの質的データは何と何？,1
34,4-23-2,tf,正しくない,名義尺度と順序尺度をまとめて質的データまたはカテゴリ型データと呼ぶことがある。これらは量的データと異なり、一見すると数値で表されている場合などでも量的データと同様の演算や可視化を行うことができないことがあるので注意が必要である。質的データは、実際はテキスト（文字）などで表されるデータもあるが、それに数値が割り当てられている場合も多い。,次の文章は正しいか答えなさい。質的データは、実際はテキストなどで表されるデータもあるが、それに数値が割り当てられることはない。,1
35,4-23-3,description,英語では単語と単語の間には空白が空いているため、単語を区切ることはそれほど難しくない。,テキストデータの処理に関しては、英語と日本語では、その特性上大きく異なる。英語では、単語という区切りがあり、単語と単語の間には空白が空いているために単語を区切ることはそれほど難しくない。しかし、日本語の文章では、単語という区切りは、文章上からそのまま見てわかるわけではない。,英語では単語を区切ることがそれほど難しくないのはなぜか。,1
