,answer,passage,question,tf
1062,ブレーンストーミングとkj法,"情報デザインの目的は「情報伝達についての問題の解決」であるから,デザインの対象は「情報伝達について何らかの問題を抱えているもの」ということになる。しかし,日常生活において,その問題を意識する機会は少ない。なぜなら,人間は置かれている状況に上手に対応しながら生活しているので,問題を問題として認識することが難しいからである。デザインの対象を見つけるためには,身の回りにある情報伝達の仕組みについて,新たな視点から考える必要がある。そのために,各種の発想法が用いられる。発想法は,ブレーンストーミングやkj法がその代表である。",どのような発想法が代表的であるか,1
515,正しい,授業での利用(著作権法第35条)では教育を担当する者、授業を受ける者は、授業の過程で利用するために、必要と認められる限度に置いて著作物を複製できる。ただし、著作権者の利益を不当に害することは違法になる。,次の文章は正しいか答えなさい。授業で利用するために著作物を複製することは違法である。,0
107,情報機器が普及したことで映像や音楽、イラストや写真など多くの著作物を手軽に利用かつ複製できるようになったため、著作権についてよく理解した上で活用するようにしなければならない,"情報機器等が普及し,デジタル化が進んだことにより,映像,音楽,イラストや写真,文章など多くの著作物を手軽に利用でき,また複製できるようになった.手軽に利用できるようになったからこそ,知らぬ間に著作権を侵害してしまうことのないように,著作権についてよく理解した上で,著作物を守り活用していく姿勢が求められる.",情報機器が普及したことで著作権に対してどのようなことに気を付ければ良いですか,1
309,真正性、信頼性、責任追跡性、否認防止,"情報セキュリティとは,情報の機密性・完全性・可用性を確保することである。2006年制定のjis q 13335-1ではさらに真正性(authenticity),責任追跡性(accountability),信頼性(reliability),否認防止(non-repudiation)を加えて7要素と呼ぶ.",2006年制定のjis q 13335-1では、7要素にはどのようなものが追加されていますか?,0
1003,学習指導要領では情報デザインについて「効果的なコミュニケーションや問題解決のために、情報を整理したり、目的や意図を持った情報を受け手に対してわかりやすく伝達したり、操作性を高めたりするためのデザインの基礎知識や表現方法及びその技術のことである。」と述べてられている。,学習指導要領解説では、情報デザインについて「効果的なコミュニケーションや問題解決のために、情報を整理したり、目的や意図を持った情報を受け手に対してわかりやすく伝達したり、操作性を高めたりするためのデザインの基礎知識や表現方法及びその技術のことである。」と述べている。,学習指導要領解説では、情報デザインについてどのように述べられているか,1
975,究極の5個の帽子掛け,"情報デザインを行っていく上で欠かせないのが,情報を構造化していくことである。情報の構造化とは,情報をある基準を用いて整理し,整理された情報同士を結び付けていくことである。情報の整理の基準として用いられているのが,リチャード・ソール・ワーマンが提唱した「究極の5個の帽子掛け」と呼ばれるものである。ここでは,情報を整理する基準について,「位置」「アルファベット」「時間」「カテゴリ」「連続量」の5つしかないとしている。",リチャード・ソール・ワーマンは情報の整理の基準として何を提案しましたか?,1
407,産業財産権には、新しい発明を出願から20年間保護する特許権、物品の構造・形状の考案を出願から20年間保護する実用新案権、商品やサービスに使用するマークを保護する商標権、物品のデザインを登録から25年間保護する意匠権がある。,"特許権,実用新案権,意匠権,商標権を総称して産業財産権といい,新しい技術やデザインなどに対して独占的に使用できる権利が与えられ,模倣されないように保護される.","特許権,実用新案権,商標権を総称して産業財産権といいますか?",0
894,マスメディア,15世紀にはグーテンベルクによって活版印刷術が発明されたことにより、情報の複製が大量にできるようになったことで、同じ情報を同時に複数人に伝えることが容易になった。その後、産業革命をきっかけに、不特定多数への情報伝達の需要が高まり、マスメディアが誕生した。,産業革命をきっかけに、不特定多数への情報伝達の需要が高まったのは何だろうか,0
564,正しい,情報技術の発展が社会へのコミュニケーションの利便性を高め人の生活を豊かにさせる反面、情報格差、健康への影響、いじめや犯罪に巻き込まれるなどの負の側面も生じている。,次の文章は正しいか答えなさい。情報技術の発展が社会へのコミュニケーションの利便性を高め人の生活を豊かにさせる一方、情報格差、健康への影響、いじめや犯罪に巻き込まれるなどの負の側面も生じている。,1
282,情報の機密性・完全性・可用性,"情報システムを安心して利用するには,情報セキュリティ対策が必要である。情報セキュリティとは,情報の機密性・完全性・可用性(情報セキュリティの3要素)を確保することである。","情報セキュリティとは,情報セキュリティの3要素である。",0
1128,定性的な情報は主に文字情報によって結果が得られるため、新たな気付きを得たり、詳細な状況を探ったりするのに向いている。,各種の発想法によりデザインの対象を見つけたら、そこにあるニーズについて情報を収集する。このとき収集される情報には、大きく分けて、定量的な情報と、定性的な情報がある。定量的な情報は、結果を数値で得られるため、量的な比較や検証をするのに向いている。定性的な情報は、主に文字情報によって結果が得られるため、新たな気付きを得たり、詳細な状況を探ったりするのに向いている。,定量的な情報と定性的な情報は、主に文字情報によって結果が得られるため、量的な比較や検証をするのに向いている。,0
278,不正アクセス禁止法違反、コンピュータ・電磁的記録対象犯罪等、ネットワーク利用犯罪,"平成30年の警察白書によれば,サイバー犯罪は次の3つの類型に区別されている。1.不正アクセス禁止法違反2.コンピュータ・電磁的記録対象犯罪等3.ネットワーク利用犯罪",サイバー犯罪は3つの類型に分類できるか?,0
1067,"6人程度のグループを組んで,6×3のマス目があるシートにそれぞれの意見やアイデアを書き込んでいく発想法","ブレーンストーミングやkj法以外に,授業に取り入れやすい発想法としては,ブレーンライティング(635法)がある。ブレーンライティングは,6人程度のグループを組んで,6×3のマス目があるシートにそれぞれの意見やアイデアを書き込んでいく発想法である。",ブレーンライティングとはどういう発想法ですか?,1
561,目が疲れたり肩こりが生じたりする身体的な症状と、情報機器に過度に依存してしまう不安症などが挙げられる,"情報機器の普及は,これらを利用して仕事している人に対して,目が疲れたり肩こりが生じたりという身体的な症状や,また,過度に情報機器に依存してしまう不安症などという健康被害(テクノストレス)を生じさせることもある.","情報機器の普及は,これらを利用して仕事している人に対して,どのような健康被害を生じさせるか?",1
23,sql,"データの蓄積や検索が容易にできるものをデータベースという,そのうち特にリレーショナルデータベース(関係データベース)が広く用いられている。リレーショナルデータベースは,表形式で表現されたテーブルというデータの集合として管理する。複数のテーブルを関連付けて,結合して利用することもできる。リレーショナルデータベースを操作するには,sql(structured query language)という言語が用いられる。",リレーショナルデータベースを操作するプログラミング言語は何?,1
203,形がない、消えない、簡単に複製できる、容易に伝播する,"情報の代表的な特性として,以下の4つがあげられる。1形がない2消えない3簡単に複製できる4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。",情報の代表的な特徴は何か,1
496,正しくない,特許権、実用新案権、意匠権、商標権を総称して産業財産権という。,次の文章は正しいですか?特許権、実用新案権、意匠権を総称して産業財産権という。,1
1147,正しくない,ペルソナ手法は、デザインされた情報の利用者の人物像(ペルソナ)を設定し、その人物に向けて、何が必要かを検討していくことで要件を定義する手法である。ペルソナを設定する際には、年齢、性別、職業、家族構成、趣味、スキルといった人物の基本的な情報だけでなく、利用者の会社、学校、社会での役割(ユーザロール)や、利用者がどのようなことを達成したいのか(ユーザゴール)、利用者の好みなども具体的に設定していく。,次の文章は正しいか答えなさい。ペルソナを設定する際には、年齢、性別、職業などの人物の基本的な情報が追加されていく。,0
71,アーツ・アンド・クラフツ運動,デザインの起源は19世紀末にウィリアム・モリスらが展開した、アーツ・アンド・クラフツ運動であると言われている。これは、大量生産による安価で粗悪な工業製品ではなく、生活と芸術を融合した製品を生産することによって、市民の生活の質や、製品の質や価値を向上させようという運動である。,デザインの起源は何か、答えなさい。,1
